run_number,fill_number,duration,start_time,end_time,delivered_lumi,recorded_lumi,l1_triggers_counter,l1_hlt_mode_stripped,hlt_key,initial_prescale_index,stable_beam
297046,5839,3261,2017-06-16 19:16:42,2017-06-16 20:11:03,19.995273,16.998525,163153041,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,0,true
297047,5839,710,2017-06-16 20:15:06,2017-06-16 20:26:56,6.220637,4.208727,26586260,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,0,true
297048,5839,384,2017-06-16 20:30:26,2017-06-16 20:36:50,4.022623,2.177207,11196794,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,6,true
297049,5839,397,2017-06-16 20:40:28,2017-06-16 20:47:05,3.971705,2.21448,11210033,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,6,true
297050,5839,18444,2017-06-16 20:50:33,2017-06-17 01:57:57,106.148066,103.19148,900142261,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,6,true
297051,5839,2788,2017-06-17 02:02:00,2017-06-17 02:48:28,0.0,0.0,2908857,cosmics2017/v196,/cdaq/cosmic/commissioning2017/CRAFT/v2.2/HLT/V1,0,false
297052,5840,201,2017-06-17 02:57:18,2017-06-17 03:00:39,0.0,0.0,125116,circulating2017/v48,/cdaq/special/Circulating2017/v2.0.2/HLT/V1,0,false
297053,5840,5924,2017-06-17 03:03:27,2017-06-17 04:42:11,0.0,0.0,5621170,circulating2017/v48,/cdaq/special/Circulating2017/v2.0.2/HLT/V1,0,false
297054,5840,109,2017-06-17 04:46:17,2017-06-17 04:48:06,0.0,0.0,16,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,3,false
297055,5840,156,2017-06-17 04:50:12,2017-06-17 04:52:48,0.0,0.0,0,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,0,false
297056,5840,4787,2017-06-17 04:55:17,2017-06-17 06:15:04,33.057809,28.478982,278684617,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,0,true
297057,5840,21382,2017-06-17 06:17:29,2017-06-17 12:13:51,120.133797,116.49517,1034828214,collisions2017/v106,/cdaq/physics/Run2017/2e34/v1.1.1/HLT/V2,3,true
297059,5841,318,2017-06-17 12:26:14,2017-06-17 12:31:32,0.0,0.0,16,cosmics2017/v196,/cdaq/cosmic/commissioning2017/CRAFT/v2.2/HLT/V1,0,false
297060,5841,239,2017-06-17 12:32:21,2017-06-17 12:36:20,0.0,0.0,16,cosmics2017/v196,/cdaq/cosmic/commissioning2017/CRAFT/v2.2/HLT/V1,0,false
297061,5841,193,2017-06-17 12:37:07,2017-06-17 12:40:20,0.0,0.0,129241,cosmics2017/v196,/cdaq/cosmic/commissioning2017/CRAFT/v2.2/HLT/V1,0,false
297062,5841,254,2017-06-17 12:43:13,2017-06-17 12:47:27,0.0,0.0,0,collisions2017/v108,/cdaq/physics/Run2017/2e34/v1.1.2/HLT/V1,0,false
297063,5841,82,2017-06-17 12:49:35,2017-06-17 12:50:57,0.0,0.0,0,collisions2017/v108,/cdaq/physics/Run2017/2e34/v1.1.2/HLT/V1,3,false
