,Unnamed: 0,run,lumi,hname,metype,entries,xmax,xmin,xbins,ymax,ymin,ybins,good,good_pixel,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100,bin_101,y_pred,y
0,5229,297467,33,chargeInner_PXLayer_1,3,63316,80000.0,0.0,100,1.0,0.0,1,0,1,0,36,173,368,517,589,721,811,851,930,930,968,997,1010,1048,1122,1144,1267,1333,1390,1477,1559,1568,1656,1816,1859,1848,1975,1982,1871,1939,1965,1997,1907,1788,1696,1623,1573,1452,1284,1191,1068,1016,835,745,742,614,539,488,485,391,342,285,243,246,230,213,187,193,163,128,123,126,95,99,95,79,87,65,56,48,69,50,33,50,46,45,35,38,38,27,40,28,18,18,32,25,26,23,20,19,18,13,12,17,13,9,11,11,8,8,259,0.36144283,2
1,5393,297467,36,chargeInner_PXLayer_1,3,162313,80000.0,0.0,100,1.0,0.0,1,0,1,0,62,377,741,1083,1363,1577,1738,1965,2037,2161,2247,2355,2414,2628,2839,2924,3070,3303,3504,3721,3981,4230,4445,4549,4812,4814,5042,5228,4992,5080,5093,4974,5013,4726,4445,4318,4041,3809,3437,3219,2886,2637,2375,2147,1884,1710,1483,1358,1155,1056,949,871,749,687,599,505,492,443,379,362,354,319,290,282,235,235,216,177,196,151,139,128,131,119,110,101,108,95,85,80,84,62,64,69,55,59,52,62,48,54,41,43,43,35,47,39,28,39,34,30,690,0.7347854,2
2,6368,297467,64,chargeInner_PXLayer_1,3,159728,80000.0,0.0,100,1.0,0.0,1,1,1,0,71,407,712,1020,1332,1572,1752,1954,2059,2147,2183,2286,2450,2520,2653,3051,3245,3252,3609,3797,3986,4133,4445,4612,4764,4800,4994,4997,5145,5093,4954,4915,4825,4595,4427,4203,3853,3723,3470,3084,2820,2545,2315,1968,1836,1672,1377,1261,1086,974,942,776,708,600,602,520,488,431,368,325,326,300,271,248,225,197,204,192,171,142,158,126,155,104,108,112,91,102,86,82,62,71,64,55,61,73,48,53,53,39,46,44,39,36,42,28,39,37,31,21,682,0.6471502,2
3,12363,297467,67,chargeInner_PXLayer_1,3,156735,80000.0,0.0,100,1.0,0.0,1,1,1,0,63,361,706,1126,1366,1611,1830,1971,2031,2180,2310,2300,2437,2582,2837,2935,3193,3469,3527,3685,4065,4113,4397,4470,4673,4754,4971,4926,4779,4675,4848,4769,4816,4293,4186,3985,3735,3463,3270,3041,2771,2429,2264,2039,1782,1573,1427,1186,1110,949,862,747,646,589,556,544,457,437,372,342,301,306,241,238,219,192,192,193,171,154,151,132,126,125,125,103,105,102,93,79,80,64,69,59,63,56,57,59,36,50,42,35,57,39,31,22,36,26,27,31,617,0.46627563,2
4,15147,297488,77,chargeInner_PXLayer_1,3,168,80000.0,0.0,100,1.0,0.0,1,0,1,0,1,0,0,0,0,1,0,2,0,3,2,1,1,3,2,4,2,5,4,5,8,3,6,7,5,8,12,8,2,4,5,8,5,3,3,4,3,2,1,2,3,2,1,3,3,2,1,1,0,2,3,1,2,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5640624,2
5,15280,297488,388,chargeInner_PXLayer_1,3,67925,80000.0,0.0,100,1.0,0.0,1,1,1,0,13,103,208,324,405,530,573,606,706,804,777,870,951,981,1101,1207,1339,1447,1632,1783,1933,2026,2100,2250,2309,2383,2416,2413,2427,2368,2372,2193,2174,2044,1962,1881,1715,1531,1405,1202,1126,929,894,766,628,554,527,473,393,344,322,268,272,213,222,182,159,176,149,133,118,107,94,85,76,73,79,81,58,58,52,43,50,34,49,37,27,29,37,35,23,20,22,27,20,19,19,23,15,13,14,12,15,9,17,12,11,7,4,8,199,0.7971956,2
6,2012,299067,136,chargeInner_PXLayer_1,3,11293,80000.0,0.0,100,1.0,0.0,1,1,1,0,3,14,24,33,39,53,51,49,69,78,96,121,130,145,162,212,280,314,334,384,437,499,467,490,463,528,475,481,491,436,398,389,363,330,257,247,222,189,157,134,115,101,95,77,75,58,46,50,41,45,33,40,37,29,20,21,20,22,17,13,15,21,11,13,13,8,16,12,8,8,6,8,7,4,5,7,6,9,7,5,3,3,7,6,4,4,7,4,3,5,3,3,3,1,2,2,2,2,0,1,40,0.29446462,2
7,2013,299067,137,chargeInner_PXLayer_1,3,12952,80000.0,0.0,100,1.0,0.0,1,1,1,0,5,13,24,46,42,58,54,64,57,63,91,133,136,162,227,244,283,345,434,461,498,512,530,555,617,583,573,531,555,464,497,446,421,375,312,282,261,163,192,154,142,131,108,93,78,78,63,51,45,38,48,42,48,42,34,23,28,21,23,15,30,14,18,20,17,13,16,14,14,10,9,9,9,9,6,10,10,4,5,9,5,1,4,3,3,4,5,4,6,5,2,1,2,0,3,1,1,1,4,1,36,0.7244923,2
8,2014,299067,138,chargeInner_PXLayer_1,3,20241,80000.0,0.0,100,1.0,0.0,1,1,1,0,3,18,44,47,59,89,84,129,120,138,171,197,257,276,338,403,485,536,601,646,754,817,825,932,922,893,889,871,855,766,774,713,599,529,490,402,384,326,281,257,210,214,168,165,124,131,96,90,79,73,66,67,49,50,44,42,41,43,30,31,27,25,25,22,25,25,24,20,13,16,13,10,23,14,11,16,10,17,12,10,6,8,4,7,3,7,5,5,1,7,8,11,6,4,3,4,3,4,3,1,50,0.3652,2
9,3291,299067,48,chargeInner_PXLayer_1,3,10874,80000.0,0.0,100,1.0,0.0,1,1,1,0,2,9,20,27,30,46,49,64,67,72,89,96,113,159,185,243,233,315,304,353,381,460,459,466,540,493,483,463,415,443,410,355,315,287,231,227,209,195,180,145,112,106,83,79,71,56,70,61,35,39,38,36,28,25,17,19,23,22,25,14,13,22,21,17,14,6,10,12,7,12,10,11,6,5,8,6,3,2,5,4,5,6,6,8,3,1,3,5,2,1,3,2,1,2,0,3,0,4,0,2,31,0.4937081,2
